WP_032398796.1	WP_032398796.1
WP_221385869.1	WP_221385869.1
WP_241541900.1	WP_241541900.1
WP_153640689.1	WP_153640689.1
WP_200755581.1	WP_200755581.1
WP_107621227.1	WP_107621227.1
WP_031584949.1	WP_031584949.1
WP_101202123.1	WP_101202123.1
WP_094152989.1	WP_094152989.1
WP_028828468.1	WP_028828468.1
WP_075149009.1	WP_075149009.1
WP_201811436.1	WP_201811436.1
WP_160419504.1	WP_160419504.1
WP_160419504.1	WP_114486400.1
WP_094091612.1	WP_094091612.1
WP_094091612.1	WP_058450612.1
WP_094091612.1	WP_045105292.1
WP_136657973.1	WP_136657973.1
WP_134291675.1	WP_134291675.1
WP_127681798.1	WP_127681798.1
WP_071662861.1	WP_071662861.1
WP_226450611.1	WP_226450611.1
WP_065376366.1	WP_065376366.1
WP_065376366.1	WP_100672624.1
WP_065376366.1	WP_028001997.1
WP_065376366.1	WP_003531723.1
WP_065376366.1	WP_026169012.1
WP_065376366.1	WP_102045023.1
WP_065376366.1	WP_012067419.1
WP_065376366.1	WP_010968288.1
WP_065376366.1	WP_127670320.1
WP_065376366.1	WP_025425308.1
WP_065376366.1	WP_053251161.1
WP_065376366.1	WP_173418464.1
WP_065376366.1	WP_026615285.1
WP_065376366.1	WP_077504718.1
WP_065376366.1	WP_064242353.1
WP_065376366.1	WP_026619479.1
WP_065376366.1	WP_065781582.1
WP_065376366.1	WP_113541300.1
WP_065376366.1	WP_057252025.1
WP_065376366.1	WP_225168271.1
WP_065376366.1	WP_180939537.1
WP_065376366.1	WP_034800134.1
WP_065376366.1	WP_247959332.1
WP_065376366.1	WP_037390474.1
WP_065376366.1	WP_153440600.1
WP_065376366.1	WP_060521526.1
WP_065376366.1	WP_173517951.1
WP_065376366.1	WP_043624236.1
WP_065376366.1	WP_095678026.1
WP_065376366.1	WP_066876526.1
WP_065376366.1	WP_097521386.1
WP_065376366.1	WP_018236092.1
WP_065376366.1	WP_014330375.1
WP_065376366.1	WP_041414797.1
WP_065376366.1	WP_173508607.1
WP_065376366.1	WP_034852667.1
WP_065376366.1	WP_069458887.1
WP_065376366.1	WP_209604355.1
WP_065376366.1	WP_071020424.1
WP_065376366.1	WP_225108847.1
WP_065376366.1	WP_136505250.1
WP_065376366.1	WP_153514730.1
WP_041097142.1	WP_041097142.1
WP_085217141.1	WP_085217141.1
WP_034775170.1	WP_034775170.1
WP_213164543.1	WP_213164543.1
WP_192456414.1	WP_192456414.1
WP_192456414.1	WP_125261038.1
WP_192456414.1	WP_168641031.1
WP_192456414.1	WP_012763820.1
WP_192456414.1	WP_027713455.1
WP_192456414.1	WP_042873431.1
WP_192456414.1	WP_035339234.1
WP_192456414.1	WP_019844099.1
WP_192456414.1	WP_168363782.1
WP_192456414.1	WP_012882920.1
WP_192456414.1	WP_033567562.1
WP_192456414.1	WP_210194813.1
WP_159674311.1	WP_159674311.1
WP_176488312.1	WP_176488312.1
WP_176488312.1	WP_006704812.1
WP_169418007.1	WP_169418007.1
WP_169418007.1	WP_201690378.1
WP_169418007.1	WP_201676889.1
WP_108780951.1	WP_108780951.1
WP_127696103.1	WP_127696103.1
WP_009425397.1	WP_009425397.1
WP_076068621.1	WP_076068621.1
WP_076068621.1	WP_157177702.1
WP_077314154.1	WP_077314154.1
WP_077314154.1	WP_161153593.1
WP_077314154.1	WP_068715414.1
WP_077314154.1	WP_123017032.1
WP_137912329.1	WP_137912329.1
WP_137912329.1	WP_018972011.1
WP_093411818.1	WP_093411818.1
WP_093411818.1	WP_017468073.1
WP_196985992.1	WP_196985992.1
WP_124938766.1	WP_124938766.1
WP_177419610.1	WP_177419610.1
WP_019560836.1	WP_019560836.1
WP_019560836.1	WP_104300221.1
WP_123297686.1	WP_123297686.1
WP_074444392.1	WP_074444392.1
WP_125217196.1	WP_125217196.1
WP_125217196.1	WP_017840980.1
WP_125217196.1	WP_014146943.1
WP_125217196.1	WP_159652260.1
WP_226403761.1	WP_226403761.1
WP_226403761.1	WP_226496087.1
WP_226403761.1	WP_117607833.1
WP_043531079.1	WP_043531079.1
WP_198100801.1	WP_198100801.1
WP_121839947.1	WP_121839947.1
WP_023495982.1	WP_023495982.1
WP_080049268.1	WP_080049268.1
WP_080049268.1	WP_095624674.1
WP_133594147.1	WP_133594147.1
WP_076095393.1	WP_076095393.1
WP_018300521.1	WP_018300521.1
WP_106207523.1	WP_106207523.1
WP_216782164.1	WP_216782164.1
WP_168876554.1	WP_168876554.1
WP_078486185.1	WP_078486185.1
WP_153583606.1	WP_153583606.1
WP_169128543.1	WP_169128543.1
WP_169128543.1	WP_169256367.1
WP_169128543.1	WP_169207492.1
WP_169128543.1	WP_169258312.1
WP_169128543.1	WP_191658424.1
WP_169128543.1	WP_169140690.1
WP_169128543.1	WP_076601439.1
WP_169128543.1	WP_018988246.1
WP_169128543.1	WP_228216708.1
WP_015488082.1	WP_015488082.1
WP_015488082.1	WP_075272863.1
WP_109856264.1	WP_109856264.1
WP_109856264.1	WP_230829944.1
WP_111549792.1	WP_111549792.1
WP_111549792.1	WP_216003171.1
WP_077034201.1	WP_077034201.1
WP_038642589.1	WP_038642589.1
WP_038642589.1	WP_010561759.1
WP_067266891.1	WP_067266891.1
WP_169065388.1	WP_169065388.1
WP_200789448.1	WP_200789448.1
WP_009837729.1	WP_009837729.1
WP_009837729.1	WP_086744323.1
WP_036549001.1	WP_036549001.1
WP_102645033.1	WP_102645033.1
WP_102645033.1	WP_116137009.1
WP_102645033.1	WP_206954684.1
WP_102645033.1	WP_115532600.1
WP_167190488.1	WP_167190488.1
WP_167190488.1	WP_166989437.1
WP_167190488.1	WP_216095583.1
WP_200593897.1	WP_200593897.1
WP_243450752.1	WP_243450752.1
WP_209427108.1	WP_209427108.1
WP_205599514.1	WP_205599514.1
WP_241583488.1	WP_241583488.1
WP_241583488.1	WP_071870972.1
WP_068388116.1	WP_068388116.1
WP_216188175.1	WP_216188175.1
WP_164453888.1	WP_164453888.1
WP_136942983.1	WP_136942983.1
WP_157402454.1	WP_157402454.1
WP_157402454.1	WP_157395168.1
WP_132293313.1	WP_132293313.1
WP_124211248.1	WP_124211248.1
WP_214568096.1	WP_214568096.1
WP_230656556.1	WP_230656556.1
WP_189455957.1	WP_189455957.1
WP_031578215.1	WP_031578215.1
WP_183199118.1	WP_183199118.1
WP_183754468.1	WP_183754468.1
WP_093969528.1	WP_093969528.1
WP_093969528.1	WP_185780352.1
WP_093969528.1	WP_123660927.1
WP_086617681.1	WP_086617681.1
WP_086471607.1	WP_086471607.1
WP_086471607.1	WP_116588128.1
WP_086471607.1	WP_104892696.1
WP_086471607.1	WP_183311115.1
WP_086471607.1	WP_220305298.1
